step_file,query,response_time,rejected,terminated,truncated,error
Wendigo-DVGA-Random-Greedy-Large-Step-1.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-10.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-100.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-101.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-102.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-103.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-104.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-105.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-106.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-107.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-108.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-109.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-11.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-110.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-111.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-112.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-113.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-114.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-115.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-116.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-117.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-118.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-119.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-12.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-120.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-121.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-122.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-123.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-124.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-125.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-126.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-127.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-128.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-129.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-13.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-130.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-131.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-132.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-133.p,,,,,,'tuple' object has no attribute 'get'
Wendigo-DVGA-Random-Greedy-Large-Step-134.p,,,,,,'tuple' object has no attribute 'get'
